tree,sweep,fixed_angle,n_vol,naz,nrng,vol_with_echo_frac
ppi,sweep_0,0.5,85,360,1100,1.0
ppi,sweep_1,1.5,85,360,1100,1.0
ppi,sweep_2,2.6,85,360,1100,1.0
ppi,sweep_3,3.8,85,360,1100,1.0
ppi,sweep_4,5.1,85,360,1100,1.0
ppi,sweep_5,6.5,85,360,1100,1.0
ppi,sweep_6,8.0,85,360,1100,1.0
ppi,sweep_7,9.6,85,360,1100,1.0
ppi,sweep_8,11.3,85,360,1100,1.0
ppi,sweep_9,13.2,85,360,1100,1.0
ppi,sweep_10,15.5,85,360,1100,1.0
ppi,sweep_11,18.4,85,360,1100,1.0
ppi,sweep_12,22.1,85,360,1100,1.0
ppi,sweep_13,26.9,85,360,1100,1.0
ppi,sweep_14,32.7,85,360,1100,1.0
sector,sweep_0,3.6,148,360,275,1.0
